complex_id	tier	parent_pdb	weight
110D__DM1__laB__aaA__rs7__m1__alt.	eligible_diversity	110D	2.2026876831363
198D__DM5__laE__aaA__rs25__m1__alt.	eligible_core	198D	0.34859048196423098
198D__DM5__laG__aaB__rs26__m1__alt.	eligible_core	198D	0.34859048196423098
198D__DM5__laH__aaD__rs27__m1__alt.	eligible_core	198D	0.34859048196423098
198D__DM5__laI__aaD__rs28__m1__alt.	eligible_core	198D	0.34859048196423098
1AL9__BDA__laC__aaA__rs17__m1__alt.	eligible_core	1AL9	1.3943619278569239
1CX3__NF__laC__aaA__rs7__m1__alt.	eligible_core	1CX3	1.3943619278569239
1I5V__PPZ__laC__aaA__rs7__m1__alt.	eligible_diversity	1I5V	1.10134384156815
1I5V__PPZ__laD__aaB__rs7__m1__alt.	eligible_diversity	1I5V	1.10134384156815
1K9G__DR1__laB__aaA__rs7__m1__alt.	eligible_diversity	1K9G	1.10134384156815
1K9G__DR1__laC__aaA__rs8__m1__alt.	eligible_diversity	1K9G	1.10134384156815
1NAB__44D__laC__aaA__rs41__m1__alt.	eligible_core	1NAB	0.69718096392846196
1NAB__44D__laD__aaB__rs40__m1__alt.	eligible_core	1NAB	0.69718096392846196
1QCH__NGM__laC__aaA__rs13__m1__alt.	eligible_core	1QCH	1.3943619278569239
1RMX__AIK__laC__aaA__rs11__m1__alt.	eligible_core	1RMX	0.69718096392846196
1RMX__AIK__laD__aaB__rs2__m1__alt.	eligible_core	1RMX	0.69718096392846196
1X95__XR2__laC__aaA__rs21__m1__alt.	eligible_core	1X95	1.3943619278569239
1Z3F__EL__laC__aaA__rs41__m1__alt.	eligible_diversity	1Z3F	1.10134384156815
1Z3F__EL__laE__aaB__rs42__m1__alt.	eligible_diversity	1Z3F	1.10134384156815
203D__PSO__laC__aaA__rs9__m1__alt.	eligible_core	203D	1.3943619278569239
204D__PSO__laC__aaB__rs1__m1__alt.	eligible_core	204D	1.3943619278569239
21CC__PP9__laC__aaB__rs101__m1__alt.	eligible_core	21CC	1.3943619278569239
224D__NGM__laC__aaA__rs14__m1__altA	eligible_core	224D	0.69718096392846196
224D__NGM__laD__aaB__rs13__m1__alt.	eligible_core	224D	0.69718096392846196
245D__NGM__laC__aaA__rs14__m1__altA	eligible_core	245D	0.69718096392846196
245D__NGM__laD__aaB__rs13__m1__alt.	eligible_core	245D	0.69718096392846196
24QP__DNH__laZ__aaN__rs101__m1__alt.	eligible_core	24QP	1.3943619278569239
24QR__DNH__laU__aaN__rs101__m1__alt.	eligible_core	24QR	1.3943619278569239
278D__DM8__laB__aaA__rs7__m1__alt.	eligible_diversity	278D	2.2026876831363
