complex_id	tier	parent_pdb	weight
198D__DM5__laE__aaA__rs25__m1__alt.	eligible_core	198D	0.38111019055509499
198D__DM5__laG__aaB__rs26__m1__alt.	eligible_core	198D	0.38111019055509499
198D__DM5__laH__aaD__rs27__m1__alt.	eligible_core	198D	0.38111019055509499
198D__DM5__laI__aaD__rs28__m1__alt.	eligible_core	198D	0.38111019055509499
1I5V__PPZ__laC__aaA__rs7__m1__alt.	eligible_diversity	1I5V	1.2040872687102999
1I5V__PPZ__laD__aaB__rs7__m1__alt.	eligible_diversity	1I5V	1.2040872687102999
1NAB__44D__laC__aaA__rs41__m1__alt.	eligible_core	1NAB	0.76222038111018997
1NAB__44D__laD__aaB__rs40__m1__alt.	eligible_core	1NAB	0.76222038111018997
1Z3F__EL__laC__aaA__rs41__m1__alt.	eligible_diversity	1Z3F	1.2040872687102999
1Z3F__EL__laE__aaB__rs42__m1__alt.	eligible_diversity	1Z3F	1.2040872687102999
224D__NGM__laC__aaA__rs14__m1__altA	eligible_core	224D	0.76222038111018997
224D__NGM__laD__aaB__rs13__m1__alt.	eligible_core	224D	0.76222038111018997
245D__NGM__laC__aaA__rs14__m1__altA	eligible_core	245D	0.76222038111018997
245D__NGM__laD__aaB__rs13__m1__alt.	eligible_core	245D	0.76222038111018997
24QP__DNH__laZ__aaN__rs101__m1__alt.	eligible_core	24QP	1.5244407622203799
24QR__DNH__laU__aaN__rs101__m1__alt.	eligible_core	24QR	1.5244407622203799
2L7V__QUL__laD__aaA__rs1__m1__alt.	eligible_core	2L7V	0.76222038111018997
2L7V__QUL__laE__aaA__rs2__m1__alt.	eligible_core	2L7V	0.76222038111018997
2NZ4__GLP__laR__aaF__rs5002__m1__alt.	eligible_core	2NZ4	0.76222038111018997
2NZ4__GLP__laW__aaG__rs5003__m1__alt.	eligible_core	2NZ4	0.76222038111018997
3CE5__BRA__laE__aaA__rs27__m1__alt.	eligible_core	3CE5	1.5244407622203799
3FT6__PRL__laC__aaA__rs21__m1__alt.	eligible_diversity	3FT6	1.2040872687102999
3FT6__PRL__laF__aaB__rs22__m1__alt.	eligible_diversity	3FT6	1.2040872687102999
3G96__6MN__laM__aaF__rs12__m1__alt.	eligible_core	3G96	1.5244407622203799
3G9C__GLP__laM__aaE__rs5001__m1__alt.	eligible_core	3G9C	1.5244407622203799
3L3C__G6P__laBA__aaH__rs5004__m1__alt.	eligible_core	3L3C	0.50814692074012657
3L3C__G6P__laN__aaP__rs5001__m1__alt.	eligible_core	3L3C	0.50814692074012657
3L3C__G6P__laS__aaQ__rs5002__m1__alt.	eligible_core	3L3C	0.50814692074012657
3QCR__R14__laD__aaA__rs15__m1__alt.	eligible_diversity	3QCR	2.4081745374205998
4KZD__1TU__laG__aaR__rs103__m1__alt.	eligible_core	4KZD	1.5244407622203799
4P1D__KPT__laE__aaA__rs103__m1__alt.	eligible_core	4P1D	1.5244407622203799
4Q9Q__2ZZ__laF__aaR__rs103__m1__alt.	eligible_core	4Q9Q	1.5244407622203799
4Q9R__2ZY__laE__aaR__rs102__m1__alt.	eligible_core	4Q9R	1.5244407622203799
5ODF__CWN__laC__aaA__rs101__m1__alt.	eligible_core	5ODF	1.5244407622203799
5TPY__HEZ__laC__aaA__rs102__m1__alt.	eligible_core	5TPY	1.5244407622203799
5W77__9WP__laD__aaA__rs103__m1__alt.	eligible_core	5W77	0.76222038111018997
5W77__9WP__laE__aaA__rs104__m1__alt.	eligible_core	5W77	0.76222038111018997
6AZ4__GP3__laC__aaA__rs101__m1__alt.	eligible_core	6AZ4	1.5244407622203799
6C65__EKJ__laD__aaA__rs101__m1__alt.	eligible_core	6C65	0.50814692074012657
6C65__EKJ__laH__aaB__rs101__m1__alt.	eligible_core	6C65	0.50814692074012657
6C65__EKJ__laL__aaC__rs101__m1__alt.	eligible_core	6C65	0.50814692074012657
6CC3__GTP__laFA__aaB__rs211__m1__alt.	eligible_diversity	6CC3	2.4081745374205998
6CK5__PRP__laIA__aaB__rs216__m1__alt.	eligible_core	6CK5	1.5244407622203799
6E8S__EKJ__laC__aaA__rs101__m1__alt.	eligible_core	6E8S	0.76222038111018997
6E8S__EKJ__laG__aaB__rs101__m1__alt.	eligible_core	6E8S	0.76222038111018997
6E8T__HZG__laE__aaD__rs101__m1__alt.	eligible_core	6E8T	0.38111019055509499
6E8T__HZG__laG__aaC__rs101__m1__alt.	eligible_core	6E8T	0.38111019055509499
6E8T__HZG__laJ__aaB__rs101__m1__alt.	eligible_core	6E8T	0.38111019055509499
6E8T__HZG__laL__aaA__rs101__m1__alt.	eligible_core	6E8T	0.38111019055509499
6E8U__HZD__laG__aaB__rs106__m1__alt.	eligible_core	6E8U	1.5244407622203799
6IZP__B2R__laB__aaA__rs101__m1__alt.	eligible_core	6IZP	0.76222038111018997
6IZP__B2R__laC__aaA__rs102__m1__alt.	eligible_core	6IZP	0.76222038111018997
6JJ0__BO6__laB__aaA__rs101__m1__alt.	eligible_core	6JJ0	1.5244407622203799
6LAX__SAM__laF__aaA__rs101__m1__alt.	eligible_core	6LAX	0.76222038111018997
6LAX__SAM__laG__aaB__rs101__m1__alt.	eligible_core	6LAX	0.76222038111018997
6O2L__BO6__laB__aaA__rs101__m1__alt.	eligible_core	6O2L	0.76222038111018997
6O2L__BO6__laC__aaA__rs102__m1__alt.	eligible_core	6O2L	0.76222038111018997
6QIT__J48__laE__aaA__rs101__m1__altA	eligible_core	6QIT	0.38111019055509499
6QIT__J48__laF__aaA__rs102__m1__altA	eligible_core	6QIT	0.38111019055509499
6QIT__J48__laG__aaC__rs101__m1__alt.	eligible_core	6QIT	0.38111019055509499
6QIT__J48__laH__aaD__rs101__m1__altA	eligible_core	6QIT	0.38111019055509499
6RIO__K4Z__laC__aaA__rs101__m1__alt.	eligible_core	6RIO	1.5244407622203799
7EOH__J8F__laB__aaA__rs101__m1__alt.	eligible_core	7EOH	1.5244407622203799
7EOI__J8F__laB__aaA__rs101__m1__alt.	eligible_core	7EOI	1.5244407622203799
7EOJ__J8F__laB__aaA__rs101__m1__alt.	eligible_core	7EOJ	1.5244407622203799
7KBX__WAM__laB__aaA__rs101__m1__alt.	eligible_core	7KBX	0.76222038111018997
7KBX__WAM__laC__aaA__rs102__m1__alt.	eligible_core	7KBX	0.76222038111018997
8EYU__X5R__laE__aaB__rs103__m1__alt.	eligible_core	8EYU	0.76222038111018997
8EYU__X5R__laI__aaA__rs104__m1__alt.	eligible_core	8EYU	0.76222038111018997
8EYV__747__laF__aaA__rs104__m1__alt.	eligible_core	8EYV	0.76222038111018997
8EYV__747__laI__aaB__rs103__m1__alt.	eligible_core	8EYV	0.76222038111018997
8EYW__TFX__laI__aaA__rs103__m1__alt.	eligible_core	8EYW	1.5244407622203799
8R6H__PQ3__laB__aaA__rs101__m1__alt.	eligible_core	8R6H	1.5244407622203799
8RUJ__VTR__laB__aaA__rs401__m1__alt.	eligible_diversity	8RUJ	2.4081745374205998
9IF0__B2R__laC__aaAAA__rs101__m1__alt.	eligible_core	9IF0	0.76222038111018997
9IF0__B2R__laD__aaBBB__rs101__m1__alt.	eligible_core	9IF0	0.76222038111018997
9K9H__GMP__laE__aaA__rs404__m1__alt.	eligible_core	9K9H	1.5244407622203799
9L4E__A1EIH__laB__aaA__rs101__m1__alt.	eligible_core	9L4E	0.76222038111018997
9L4E__A1EIH__laC__aaA__rs102__m1__alt.	eligible_core	9L4E	0.76222038111018997
9NAP__EKJ__laB__aaA__rs201__m1__alt.	eligible_core	9NAP	1.5244407622203799
